version,name,aa,ppg,srm,description
fermentable,2-Row Malt - 1.7°L (Rahr),,1.038,1.7,"A fantastic and economical all-purpose base malt. It is made from Harrington barley grown on the western prairies and malted in Minnesota. It is high in enzymes, well modified, clean and smooth. Easily converts with a single step infusion mash. =concat(“‘“, D6)"
fermentable,2-Row Malt - 1.75°L (Briess),,1.038,1.75,"Probably the most commonly used base malt in all-grain or partial-mash brewing. Yields a slightly higher extraction rate than 6-Row. 2-Row is well modified, smooth, and high in enzymes. A single step infusion mash will easily convert 2-Row, but a protein rest is recommended to improve clarity."
fermentable,2-Row Malt - 2.0°L (MaltEurope),,1.038,2,An excellent plain American 2-row malt grown in and around Montana and used by many US pro brewers. Good for single infusion mashes; works well with adjuncts.
fermentable,2-Row Brewers Malt - 1.8°L (Briess),,1.038,1.8,"An American 2-row malt of exceptional quality.  Very consistent malt with a clean, sweet malty flavor."
fermentable,2-Row Organic – 1.8°L (Briess),,1.037,1.8,"Base malt made from organically-grown 2-row barley, certified by Oregon Tilth. Mild, malty flavor. Suitable for all beer styles. "
fermentable,6-Row Malt 1.7°L (Rahr),,1.035,1.7,"Optimized for adjunct brewing—its high enzyme content easily converts high percentages of unmalted corn, rice, oats, etc. Six-row is also useful in lautering mashes with huskless grains due to it high husk content."
fermentable,Acidulated Malt - 1.8°L (Weyermann),,1.027,1.8,pH 3.4-3.6. Include 1 to 10% to lower mash and wort pH. Good for brewing pilsner with soft water. Recommended by Weyermann for pils and hefeweizen mashes.
fermentable,Amber Malt – 7°L (Crisp),,1.035,7,"Made from ale malt. Warm, pleasant, biscuit flavor with coffee undertones. This is a versatile malt for the all grain or partial mash brewer. Try a 1/2 lb. In a nut brown or red ale. "
fermentable,Aromatic Malt - 19°L (Castle),,1.036,19,A mildly kilned malt that has a strong malt aroma and rich color. Use 1-10%.
fermentable,Ashburne Mild – 5.3°L (Briess),,1.037,5.3,"A high-kilned base malt for elevated sweet, malty flavor and aroma and rich, golden color. Ideal for mild, brown, and amber ales. "
fermentable,Beechwood Smoked Malt - 2.3°L (Weyermann),,1.037,2.3,"Also known as Rauchmalt, Weyermann's famous beechwood-smoked malt can make up to 100% of the grist for classic Bamberger Rauchbier. Use smaller percentages to add smoke character to bock, helles, hefeweizen, porters, Scottish ales, brown ales, etc."
fermentable,Biscuit Malt – 24.5°L (Crisp),,1.036,24.5,"Toasted malt that contributes a warm, earthy flavor, with an aroma described as warm bread or biscuit flavor and will lend a granet-brown color"
fermentable,Black Malt - 500°L (Briess),,1.025,500,"As implied by the name, this malt will give a sharp roasted flavor and deep red to black color. Used in porters, stouts, and dark ales and lagers. Midwest suggests using this malt in moderation."
fermentable,Black Malt - 550°L (Simpsons),,1.025,550,"Made by roasting white malt at a higher temperature than that used to produce Chocolate Malts. Sharp flavor and black color, with a smoother flavor than roasted barley. Small percentages add reddish color to Scottish ales, red ales, and bitter. Higher percentages give pronounced roasted flavor and aroma and black color. Ideal for sweet stout and robust porter."
fermentable,"Black Malt, Debittered – 550°L (Castle)",,1.025,550,A unique malt for adding deep color without the astringency of other highly roasted malts. Great for Schwarzbier and oatmeal or sweet stout. 
fermentable,BlackPrinz - 500°L (Briess),,1.025,500,"Intensely roasted from hulless barley, Blackprinz® Malt is an amazingly smooth and mellow flavored black malt without bitter, astringent, dry flavors or aftertaste. Despite its delicate and clean flavor Blackprinz® Malt won't disappoint the eye, delivering exceptionally deep color to dark beers or a slight to intense boost of color to other beer styles. The hints of toasted malty flavor that come through at slightly higher usage rates makes Blackprinz® Malt a truly unique member of the black malt category.

Usage Rates:
•1-2% Minor color adjustment with little to no flavor impact in lighter colored lagers and ales.
•2-5% Adds color with subtle, smooth flavor in Black IPAs, Dark Mild Ales, Brown Ales, Dark Wheat Beers and Schwarzbier.
•5-10% Use in larger quantities for color plus hints of toasted malty flavor."
fermentable,Brown Malt – 65°L (Crisp),,1.032,65,Made from green malt. Imparts a dark roasted flavor and bitterness to beer. Works great in older styles of English ales such as brown ales and mild stouts and porters. 
fermentable,CaraAmber 27°L (Weyermann),,1.034,27,"Intesifies the aroma and color of dark beers, particularly German altbiers, stouts, bocks and porters. "
fermentable,CaraAroma - 130°L (Weyermann),,1.033,130,"Imparts fuller body and improved malt aroma to dark beers, particularly German altbiers, stouts, bocks and porters."
fermentable,Carafa I - 337°L (Weyermann),,1.032,337.5,"Dehusked Carafa I intensifies the aroma and color of dark beers while contributing very low astringency —very smooth. Use 1-5%. Ideal for bock, doppelbock, altbier, and especially Schwarzbier. Small amounts can be used for color adjustment in amber beers. Also nice in stouts and porters."
fermentable,Carafa II - 430°L (Weyermann),,1.032,430,"Dehusked Carafa II intensifies the aroma and color of dark beers while contributing very low astringency —very smooth. Use 1-5%. Ideal for bock, doppelbock, altbier, and especially Schwarzbier. Small amounts can be used for color adjustment in amber beers. Also nice in stouts and porters."
fermentable,Carafa III - 525°L (Weyermann),,1.032,525,"Dehusked Carafa III intensifies the aroma and color of dark beers while contributing very low astringency —very smooth. Use 1-5%. Ideal for bock, doppelbock, altbier, and especially Schwarzbier. Small amounts can be used for color adjustment in amber beers. Also nice in stouts and porters."
fermentable,CaraFoam - 1.8°L (Weyermann),,1.036,1.8,"German dextrin malt with lovely, delicate malt character. Improves head retention and body. Recommended for pilsners and pale lagers."
fermentable,CaraHell - 11°L (Weyermann),,1.035,11,"Imparts a full, round malt flavor and gold color. Very versatile - use up to 15% in pale ale, Oktoberfest, Maibock, and hefeweizen."
fermentable,CaraMalt - 34°L (Simpsons),,1.034,34,"Made from green malt. Imparts a light flavor, and slight red hue. Great for dark lagers and ales. Will contribute dextrins and add to foam stability. This grain may be steeped or mashed."
fermentable,Caramel 10°L – 10°L (Briess),,1.035,10,"Contributes body, foam stability, color, and flavor. Use 3-15% for golden color, and candylike sweetness and mild caramel flavor. "
fermentable,Caramel 20°L – 20°L (Briess),,1.035,20,"Contributes body, foam stability, color, and flavor. Use 3-15% for golden color, and candylike sweetness and mild caramel flavor. "
fermentable,Caramel 40°L – 40°L (Briess),,1.034,40,"Briess caramel malts contribute body, foam stability, color, and flavor. Use 3-15% 40L for golden to light-red color, and sweet caramel/toffee flavor. "
fermentable,Caramel 60°L – 60°L (Briess),,1.034,60,"Contributes body, foam stability, color, and flavor. Use 3-15% for golden to light red color, and sweet, pronounced caramel flavor. "
fermentable,Caramel 80°L – 80°L (Briess),,1.034,80,"Contributes body, foam stability, color, and flavor. Use 3-15% for red to deep red color, and pronounced caramel, burnt sugar, and raisin flavor. "
fermentable,Caramel 90°L – 90°L (Briess),,1.033,90,"Contributes body, foam stability, color, and flavor. Use 3-15% for red to deep red color and pronounced caramel, burnt sugar, and raisin flavor. Use in amber or red ales, bock, stout, and porter. "
fermentable,Caramel 120°L – 120°L (Briess),,1.033,120,"Briess caramel malts contribute body, foam stability, color, and flavor. Use 3-15% in amber or dark beers for deep red color and pronounced caramel, burnt sugar, raisin, and prune flavor. "
fermentable,Caramel Pils – 6°L (Crisp),,1.036,6,"A very pale caramel malt. Contributes a subtle caramel flavor. The malting process creates a 'floury' endosperm that will yield fermentable sugars when mashed with base malts. Steep Caramel Pils in quantities under a pound to add a light caramel flavor, but mash it with other grains for the full effect."
fermentable,CaraMunich - 47°L (Castle),,1.034,47,"An excellent all-purpose caramel malt. Round, sweet character with toasty overtones and deep gold to copper color, depending on usage. Used extensively in amber and dark Belgian ales. We like it for amber and dark lagers as well. "
fermentable,CaraMunich I - 34°L (Weyermann),,1.034,34,"Deep gold to pale copper color and sweet malty flavor and aroma. Use 5-10% for enhanced body and malt character in Oktobefest, Altbier and bock; 1-5% for other amber beers."
fermentable,CaraMunich II - 46°L (Weyermann),,1.034,46,"Deep gold to copper color and mildly toasty sweet flavor and aroma. Use 5-10% for enhanced body and malt character in Oktobefest, Altbier and bock; 1-5% for other amber beers."
fermentable,CaraMunich III - 57°L (Weyermann),,1.034,56,"Copper color and moderately toasty sweet flavor and aroma. Use 5-10% for enhanced body and malt character in Oktobefest, Altbier and bock; 1-5% for other amber beers."
fermentable,CaraPils/Dextrine – 1.5°L (Briess),,1.036,1.5,"Briess Carapils is a trademarked dextrin malt. 1-5% adds foam stability, body, and palate fullness to beer and significantly enhances head retention. Although it appears darker than pale malt, it has a clear, glassy endosperm and does not contribute significantly to beer color or flavor. "
fermentable,CaraRed - 20°L (Weyermann),,1.035,20,"Provides fuller body and imparts a deep, saturated red color, particularly to red ales and lagers, Scottish ales, bocks and altbiers."
fermentable,CaraStan - 35°L (Bairds),,1.034,35,Bairds Carastan is a British crystal malt with a caramel/toffee flavor and hints of toasted bread.
fermentable,"CaraStan, Light - 15°L (Bairds)",,1.035,15,Similar to Bairds Carastan but kilned at a lower temperature. Pleasant toffee flavor.
fermentable,CaraVienne – 20°L (Castle),,1.035,21,"An excellent all-purpose caramel malt. Round, sweet character and golden to light copper color, depending on usage. Ideal for Belgian ales. "
fermentable,CaraWheat - 45°L (Weyermann),,1.034,45.5,Malted wheat that has been steeped and kilned to create a caramel malt. Emphasizes wheat aroma and flavor and adds color; use up to 15% for dunkelweizen and hefeweizen.
fermentable,Cherrywood Smoked Malt – 2°L (Briess),,1.037,2,"This unique malt is produced in small batches and smoked over cherry wood, resulting in an enzyme-active malt that contributes an intense yet smooth and sweet smoke flavor and aroma. Recommended for Bamberg-style Rauchbier and other smoked beers, porters, Oktoberfests, and Scottish ale. At 5-10% of the grist it will contribute a noticeable smoke character in lighter styles; at 30-60% it will contribute a pronounced smoke character to Bamberg-style lagers, Rauchbock, and porters. "
fermentable,"Chocolate Malt, Pale – 215°L (Fawcett)",,1.034,215,"Less highly-roasted than regular chocolate malt. Adds color and a mild chocolate/coffee flavor to dark milds, stouts, and porters. "
fermentable,Chocolate Malt - 350°L (Briess),,1.028,350,"Chocolate malt will give your beer a warm, nutty, chocolate-like flavor. Just a few ounces in a batch will impart a slight brown color. Use up to a pound in porters and stouts and dark lagers. 
"
fermentable,Chocolate Malt - 412°L (Simpsons),,1.034,412.5,"A classic malt for stout, porter, and brown ale. Provides color for a wide variety of dark beer styles. At small percentages gives a brown color and mild roasted flavor, larger amounts for strong bittersweet chocolate flavor and near black color."
fermentable,Chocolate Rye - 239°L (Weyermann),,1.031,239,"Use 1-5% to add color and a subtle roasty character to Dunkelweizen, Roggenbier, or other specialty ales."
fermentable,Chocolate Wheat - 400°L (Weyermann),,1.033,400,"Malted wheat that has been steeped and roasted to create a very dark color. Adds deep color and roasted character. Use 1 to 5% for altbier, dunkelweizen, stout and porter."
fermentable,Coffee Malt - 150°L (Simpsons),,1.029,150,"As the name suggests the first smell of this grain brings out a rich coffee flavor that will add complexity to any dark ale. 
"
fermentable,Crystal Rye - 75°L (Fawcett),,1.034,75,"Will lend a dry, licorice, toffee flavor. Great for use in complex, multi-grain brews where that extra special something is required."
fermentable,"Crystal, Dark - 75°L (Simpsons)",,1.034,75,"Contributes a strong reddish hue to milds, brown ales, and other dark beers. The long kilning of this malt imparts a roasty edge on top of the malty sweetness of a crystal malt."
fermentable,"Crystal, Extra Dark - 160°L (Simpsons)",,1.033,160,Very dark English crystal malt with deep amber color and burnt sugar and dark fruit flavors.
fermentable,"Crystal, Medium - 55°L (Simpsons)",,1.034,55,Versatile English crystal malt imparts a rich gold to copper-red color and caramel flavor and increases foam stability.
fermentable,Distiller's Malt - 1.75°L (Canada Malting),,1.038,1.75,"At a rate of up to 100%, Canada Malting’s distiller’s malt is an excellent enzyme, amino nitrogen and starch source for a partial to full distiller’s mash. The well-modified malt, coupled with a gentle kilning cycle, produces high enzyme levels, which can be used to break down other starch sources."
fermentable,ESB Pale Malt - 3.5°L (Gambrinus),,1.037,3.5,A British-style pale-ale malt made from Canadian 2-row barley. Slightly sweeter and richer malt flavor than standard 2-row.
fermentable,Extra Special Malt - 130°L (Briess),,1.033,130,"Provides distinctive flavors (burnt sugar, woody, prunes) associated with darker, high gravity beers like Doppelbock. Can be used to enhance standard or lighter gravity beers to provide a richer, more complex flavor profile. 
"
fermentable,Flaked Barley - 1°L,,1.032,1,"Grainy taste and significantly increased head retention, creaminess, and body. Can make up to 20% of grist for classic dry Irish stouts. "
fermentable,Flaked Maize – 1°L,,1.039,1,"Mild, neutral flavor in small amounts, moderate sweetness at higher percentages. Low rates sometimes used in English bitters. Can make up to 40% of grist for American lager styles. "
fermentable,Flaked Oatmeal – 1°L,,1.032,1,Use up to 30% of grist total for a distinct full-bodied flavor and creamy texture. 
fermentable,Flaked Rice – 1°L,,1.038,1,Lightens the body and increases crispness of a beer. Commonly used in American and Japanese lagers. Can be used for up to 40% of the grist. 
fermentable,Flaked Rye - 2°L,,1.029,2,"Lends dry, crisp character and strong rye flavor. Use 5-10%. "
fermentable,Flaked Wheat – 2°L,,1.036,2,Greatly increases head retention and body at as low as 8% of the grist; can make up to 40% of grist. 
fermentable,Golden Promise - 1.85°L (Simpsons),,1.038,1.85,"Malt from a traditional barley variety grown in Scotland. Golden Promise produces a mellow wort, with a sweet, clean flavor. This base malt is a must for authentic Scottish ales, great for English styles as well."
fermentable,Halcyon - 2.6°L (Fawcett),,1.038,2.6,"A floor-malted barley malt from a single barley variety (Halcyon), and produced by a centuries-old, family-owned maltster. Halcyon Pale Ale Malt is considered to be one of the last remaining ""traditional"" English Pale Malts. Adds a degree of biscuit flavor to the beer. Brighter and lighter in flavor than Pearl, Halcyon is a great malt for the production of Real Ales. It tends to produce a less sweet wort than Maris Otter. All the base malts from Thomas Fawcett & Sons are grown by local, family farmers near the maltings area. 
"
fermentable,Honey Malt - 25°L (Gambrinus),,1.034,25,Honey malt is Gambrinus Malting's best description for the unique European malt known as brumalt. Mash up to 10% for intense malt sweetness.
fermentable,Kiln Coffee – 110°L (Franco-Belges),,1.029,110,"This unique malt imparts a pleasant coffee flavor. Use it in stouts, porters, brown ales, and Scottish ales. "
fermentable,Kölsch Malt - 4.5°L (Schill),,1.037,4.5,"From a maltster co-op based in Osthofen, near Köln, this malt is used by some of the brewpubs in that city to make their trademark ale. Kölsch malt has a light, sweet and extremely ""German"" flavor and aroma with a little bit of biscuit character. We've had good results using a multi-temp step mash with Kölsch malt, but a single infusion — although not traditional — works as well. Style nerds please take note: the maltster rates the color of this malt at 9 EBC. If you use 100% Kölsch malt for the grist of a Kölsch, you will be within spec according to Eric Warner's Kölsch (7-14 EBC, or 3.5-7 SRM — p. 51), but definitely on the dark end of the BJCP guidelines. If you are brewing for a competition, you may want to incorporate some pils or wheat malt into the grain bill to dilute the color."
fermentable,Maris Otter – 4°L (Crisp),,1.038,4,"This variety has long been a favorite of English brewers for its rich flavor and very forgiving brewing performance. Since this malt is fully modified, a protein rest is not necessary. This is a very popular base malt used in pale ales, bitters, porters, IPAs, stouts, barleywines and Scottish ales. Excellent yields and efficient run off make it the malt of choice for producing English style beers. 
"
fermentable,"Maris Otter, Floor Malted - 4.5°L (Warminster)",,1.038,4.5,"This is a special craft malt from Britain's oldest working floor-malting facility. Still made by hand using many of the same methods as they were 200 years ago, Warminster's Maris Otter is a complex and bready malt. Use in any British style and many American styles for unparalleled depth of flavor."
fermentable,Melanoidin - 27°L (Weyermann),,1.034,27,"Adds red color and intensifies malt flavor and aroma. Mash up to 20% in amber and dark lagers, red ales, Scottish ales, bock and doppelbock."
fermentable,Midnight Wheat - 550°L (Briess),,1.025,550,A very dark roasted malt that provides body with very smooth and mild roasted flavor along with intense color. This malt won't add the bitterness or astringency of other roasted malts like Chocolate or Black Malt. Made from Wisconsin wheat.
fermentable,Munich - 8.3°L (Best Malz),,1.035,8.3,"High-kilned lager malt contributes an intense malt flavor and amber color. Use up to 100% for alt, dunkel, and bock; smaller percentages in pale or amber lagers and ales for enhanced malt character."
fermentable,Munich - 10°L (Briess),,1.035,10,"Munich-style malt that contributes a very robust, malty flavor when used at 5-15%. Well suited for contributing additional malty flavor in all beer styles."
fermentable,"Munich, Bonlander - 10°L (Briess)",,1.035,10,"A bready, sweet American Munich malt, made in the style of the classic European maltsters.  Great for porters, brown ales, Oktoberfests, and Altbiers."
fermentable,"Munich, Dark - 15°L (Schill)",,1.035,15.5,"Darker than regular Munich malt, this will add color and a strong malt flavor to beer. Great for dark lagers. Mix this base malt with other base malts for a complex malt flavor and deeper color."
fermentable,Oak Smoked Pale Wheat Malt - 3.1°L (Weyermann),,1.037,3.1,"This is an heirloom malt known for its use in Gratzer/Grodziskie, a smoked wheat beer once popular in Northern Germany and Poland."
fermentable,Oat Malt – 4°L (Fawcett),,1.037,4,"There are not many malt companies that produce an oat malt — we know of only Thomas Fawcett and Sons. We love oat malt for the texture and warm, grainy flavor that it adds to stouts, porters, other robust British ales. "
fermentable,"Oats, Golden Naked - 10°L (Simpsons)",,1.037,10,"This unique product has a sweet berry-nut flavor. Used at a rate of 4-15% to add a deep golden hue, light caramel flavors, and a creamy, satiny finish."
fermentable,Optic Malt - 2.75°L (Fawcett),,1.038,2.7,Optic is a barley variety widely grown in the United Kingdom. We have been impressed with its highly aromatic qualities. Good for use as a base malt in British styles.
fermentable,Pale Ale Malt - 3.1°L (Canada Malting),,1.036,3.1,A well-modified malt that is kilned to a darker color than standard 2-row. Has a slight biscuity flavor.
fermentable,Pale Ale Malt – 3.2°L (Castle),,1.037,3.2,"Fully modified pale ale malt from Belgian two-row barley, easily converted by a single temperature mash. It is a good all-purpose pale malt, and great in Belgian ales. "
fermentable,Pale Ale Malt - 3.5°L (Briess),,1.036,3.5,"This malt is a less expensive alternative to British or Belgian pale ale malt. Slightly darker version of the Briess 2-row, comparable performance suited for any ale. Suitable when rich, malty flavors and additional color is desired. "
fermentable,Pale Ale Malt - 3.5°L (Rahr),,1.036,3.5,An economical domestic base malt for English and American ale styles. Kilned a bit higher than Rahr standard 2-row (3-4°L) for deeper color and flavor.
fermentable,Pearl Malt - 2.1°L (Fawcett),,1.038,2.1,"A floor-malted barley malt from a single barley variety (Pearl), and produced by a centuries-old, family-owned maltster. Fawcett's primary barley variety used by several of England's largest and finest breweries. As a base malt, Pearl lends a dry breadiness. Recommended for traditional Pale Ales. 
"
fermentable,Peat Smoked Malt - 2.5°L (Simpsons),,1.034,2.5,"Phenol level 12-24. While the malt is in the kiln, peat moss outside the kiln is gently smoked over slow burning coals allowing its vapors to drift above the malt. Peat malt is used in the distilling of Scotland's finest whiskies, but has found favor with homebrewers and craft brewers in smoked beers. Adds intense iodine and seaweed smoke phenol character - a little goes a long way!"
fermentable,Pilsen - 1.7°L (Best Malz),,1.037,1.7,"Pilsen malt for German Pilsner and other European styles. This malt is produced from high-quality two-row spring barley grown in the best German and European barley regions. Low protein levels, high extract content, light color and high enzymatic activity."
fermentable,Pilsen - 1.7°L (Franco-Belges),,1.036,1.7,"Light in color and low in total protein, this Pilsen malt is produced from the finest European two-row barley. This malt is extremely well modified and can easily be mashed with a single-temperature infusion. Excellent malty character suitable for many German and Belgian styles."
fermentable,Pilsner – 1.6°L (Castle),,1.036,1.6,"An excellent base malt for pale lager, Belgian ales, and wheat beers. Pale color, low in protein, and results in a remarkably clean and light finished product."
fermentable,Pilsner - 1.6°L (Global Malt),,1.037,1.6,"Bright, clean, full-bodied character. Ideal for any European lager style and indispensable for pale lagers like Helles or pils. Suitable for single infusion malt, but many folks swear by the protein rest!"
fermentable,Pilsner - 1.75°L (Rahr),,1.037,1.75,"high-quality, economical pilsner malt from Rahr Malting in Shakopee, MN. A bit lighter in color and lower in total protein than Rahr's standard 2-row (#G001). Can make up to 100% of the grist for a very pale beer. Great for lagers."
fermentable,"Pilsner, German - 1.6°L (Saltzgitter)",,1.037,1.6,"The finest European pilsner malt available to homebrewers.  Lagers made from this malt have a bright, clean, full bodied character."
fermentable,"Pilsner, Bohemian - 1.9°L (Weyermann)",,1.037,1.9,"Czech-grown 2-row spring barley, processed specifically to impart full body, golden-blond color, and complex maltiness. Use for up to 100% of the grist for all lagers (especially Bohemian Pilsners) or Belgian ales."
fermentable,"Pilsner, Bohemian Floor Malted - 1.8°L (Weyermann)",,1.037,1.8,This is an exceptional Pilsner malt made in the traditional Bohemian fashion.  The result is a slightly under-modefied malt with a unique and complex flavor.
fermentable,Rice Hulls,,1.000,0,"Lautering aid that will not affect color, flavor, body, or gravity of beer. Use up to 5% for wheat beers or high-protein mashes."
