version,name,aa,ppg,srm,description
fermentable,Roasted Barley - 550°L (Crisp),,1.025,550,"Gives black color with ruby highlights and distinct, astringent roasted bitter flavor. Mandatory for dry Irish stouts. Use very small percentages to add color to Scottish ales and red ales."
fermentable,Roasted Wheat - 12°L (Dingemanns),,1.038,12,"(Tarwe Mout Roost 27) - Dingemans Roasted Wheat is a slightly roasted wheat that will lend nutty, bread-like flavors.
"
fermentable,"Roasted Wheat, Light - 300°L (Briess)",,1.026,300,"Use this grain when you want a sweet, coffee-like, grainy flavor and red to deep brown color. A little goes a long way. Roasted barley imparts the flavors associated with Irish Stout. 
"
fermentable,Rye Malt - 3.5°L (Weyermann),,1.029,3.5,"Contributes a spicy rye flavor; use up to 50% for rye beers, also makes an interesting addition to smoked beers and wheat beers."
fermentable,Rye Malt - 3.7°L (Briess),,1.029,3.7,"Lends a spicy rye flavor to roggenbiers, ryePAs, and more. Fully modified, rice hulls recommended if used for more than 20% of the mash."
fermentable,Special B – 147°L (Castle),,1.031,147,"An extremely dark caramel malt with a sharp, almost toffee like flavor. It will impart a heavy caramel taste and is often credited with the raisin-like flavors of some Belgian ales. "
fermentable,Special Roast – 50°L (Briess),,1.034,50,"Contributes a deep golden to brown color and toasty, biscuity, sour, and tangy flavors. Mash up to 10% for brown ale, porter, and other dark ales. "
fermentable,Stout Malt - 1.75°L (Malting Company of Ireland),,1.037,1.75,"Stout Malt is made with plump, round kernels with very low protein and high extract.  Low kilning temps produce a very pale wort with high enzyme levels."
fermentable,Victory – 28°L (Briess),,1.035,28,"A trademark malt from a great American maltster. Use up to 15% in a mash. Gives deep gold to light brown color and biscuity, toasty, baking bread, and nutty flavors. Excellent for brown ales. "
fermentable,Vienna - 2.7°L (Franco-Belges),,1.035,2.7,"This malt will reinforce the color and aroma of all beer styles, particularly Eastern European and German style beers. Warm and slightly bready flavor."
fermentable,Vienna - 3.1°L (Schill),,1.035,3.1,"Lager malt kilned to a slightly darker color than Pilsner malt. Use up to 30% in a pale beer or up to 100% in an Oktoberfest or Vienna lager to achieve a dry, slightly toasty malt flavor."
fermentable,"Wheat Malt, Red - 2.5°L (Rahr)",,1.037,2.5,"Produced from North American grown wheat. Red wheat is a smaller, harder kernel that some brewers prefer in their wheat beers. 
"
fermentable,"Wheat Malt, White - 3°L (Rahr)",,1.037,3,A domestic wheat malt; can be used for up to 50% of a grain bill.
fermentable,"Wheat, Dark - 7.5°L (Weyermann)",,1.037,7.5,"Use up to 50% for dark wheat beers, weizenbocks, or in smaller proportions to add body and head retention to other dark ales. Protein rest recommended."
fermentable,"Wheat, Pale - 1.5°L (Weyermann)",,1.037,1.5,"Use up to 80% for wheat beers, or in smaller proprtions to add body and head retention to Kolsch, altbier, and other ales. Protein rest recommended."
fermentable,"Wheat, Torrified - 1°L (Briess)",,1.036,1,"Torrified Wheat has been heat treated to break the cellular structure, allowing more rapid hydration and malt enzymes to more completely attack the starches and protein. Torrified Wheat can be used in place of raw wheat when making Belgian-style White and Wit beers. Advantages over raw wheat include normal conversion time and higher yield. Add to the mash along with the malt. Mash as usual."
fermentable,"Wheat, Unmalted - 1°L (Rahr)",,1.036,1,"Unmalted Wheat is for use in producing authentic Belgian styles, most notably Wit and Lambics. A protein rest is highly recommended if used in mashing."
fermentable,-----Dry Malt Extracts-----,,0.000,0,-
fermentable,Briess - CBW® Pilsen Light DME,,1.044,2,"Subtle Malty - Base Malt, Carapils® Malt"
fermentable,Briess - CBW® Golden Light DME,,1.044,4,"Malty - Base Malt, Carapils® Malt"
fermentable,Briess - CBW® Bavarian Wheat DME,,1.044,3,"Neutral, Malty - Base Malt, Wheat Malt"
fermentable,Briess - CBW® Sparkling Amber DME,,1.044,10,"Rich Malty, Biscuity - Base Malt, Caramel 60L Malt, Munich Malt"
fermentable,Briess - CBW® Traditional Dark DME,,1.044,30,"Sweet, Intense Malty - Base Malt, Caramel 60L Malt, Munich Malt, Black Malt"
fermentable,Briess - Maltoferm®  A-6000 Black Malt DME,,1.019,3500,Color Adjustment; Neutral Flavor At Low Usage Levels - Blend Of Dark Roasted Malts
fermentable,Briess - Organic Maltoferm® 10000 Light Malt DME,,1.044,4,Malty - Organic Base Malt
fermentable,Muntons - Plain Extra Light DME,,1.046,3.5,"Palest color English DME in the Munton's line. Ferments very dry. Use for pale ale, English summer ale, and bitter."
fermentable,Muntons - Plain Light DME,,1.046,5,"Light-colored English DME, a bit darker than Extra-Light. Use for pale ale, IPA, and bitter."
fermentable,Muntons - Plain Wheat DME,,1.046,4.5,"English DME made with pale malt and wheat. Use for English summer ales, wheat beers, or to add body to low-gravity bitter and mild."
fermentable,Muntons - Plain Amber DME,,1.045,10.1,"Amber colored English dry malt extract, ferments dry with a malty flavor. Good for Scottish ales, ESB, milds, and brown ales."
fermentable,Muntons - Plain Dark DME,,1.044,30.5,"Deeply colored English malt extract, ferments dry with a malty flavor. Good for porters, stout, and brown ales."
fermentable,Muntons - Plain Extra Dark DME,,1.044,30.5,Very dark English malt extract with a full flavor. Good for porters or stout.
fermentable,-----Adjuncts-----,,0.000,0,-
fermentable,"Brown Sugar, Light - 20°L",,1.044,20,Brown sugar is a sucrose sugar product with a distinctive brown color due to the presence of molasses. It is either an unrefined or partially refined soft sugar consisting of sugar crystals with some residual molasses content.  Dark brown sugar contains 6.5% molasses.
fermentable,"Brown Sugar, Dark - 40°L",,1.044,40,Brown sugar is a sucrose sugar product with a distinctive brown color due to the presence of molasses. It is either an unrefined or partially refined soft sugar consisting of sugar crystals with some residual molasses content. Light brown sugar contains 3.5% molasses.
fermentable,"Candi Sugar, Blonde (Soft) - 5°L",,1.038,5,"Use this soft candi sugar in all of your Belgian beers to impart a wonderfully soft and well-rounded flavor that you have never had in your beers before! A by-product of the rock candi and candi syrup making processes, soft sugar is made up of tiny crystals of beet sugar that have been removed from the syrup by way of a centrifuge. These crystals have a more intense flavor than the traditional sugar rocks American brewers are used to seeing. This is the same candi sugar used by the famous Rochefort brewery in Belgium. Soft and delicate candi syrup flavor and light color. 

"
fermentable,"Candi Sugar, Brown (Soft) - 40°L",,1.032,40,"Use this soft candi sugar in all of your Belgian beers to impart a wonderfully soft and well-rounded flavor that you have never had in your beers before! A by-product of the rock candi and candi syrup making processes, soft sugar is made up of tiny crystals of beet sugar that have been removed from the syrup by way of a centrifuge. These crystals have a more intense flavor than the traditional sugar rocks American brewers are used to seeing. This is the same candi sugar used by the famous Rochefort brewery in Belgium. Dark brown Soft Candi Sugar is full of dark candi syrup flavor but has a higher sugar content and is easier for some breweries to handle over a liquid sugar. 

"
fermentable,"Candi Sugar, Clear (Hard) - 0°L",,1.046,0,"Imported from Belgium, this sugar is refined from sugar beets, and is 100% fermentable. 0°L."
fermentable,"Candi Sugar, Dark (Hard) - 275°L",,1.046,100,"Imported from Belgium, this sugar is refined from sugar beets, and is 100% fermentable. Rated at 275°L; actual color contribution is lower."
fermentable,"Candi Syrup, Clear - 0°L",,1.032,0,"A premium clear Belgian candi syrup made from beet sugar. Provides clean honey-like flavor to light Belgian Ales. Great for Tripels, Golden Strong ales, or anytime you're looking for increased drinkability and complexity"
fermentable,"Candi Syrup, Amber - 45°L",,1.032,45,"This premium amber Belgian candi syrup is perfect for amber and brown Belgian ales. The syrup is made from beet sugar and has flavors of toffee, vanilla, and toasted bread."
fermentable,"Candi Syrup, Dark - 90°L",,1.032,80,"D-90 is a versatile dark candi syrup made with pure beet sugar. This syrup creates an unmistakable and subtle chocolate back-palate, toffee, and toasted bread flavors."
fermentable,"Candi Syrup, D2 - 180°L",,1.032,180,"This premium extra dark Belgian candi syrup is made from beet sugar and date sugar and has deep flavors of fresh ground coffee, dark fruit, and toasted bread. Perfect for use in dark Belgian ales. 180 SRM"
fermentable,Cane Sugar - 0°L,,1.046,0,Sucrose
fermentable,Corn Sugar - 0°L,,1.042,0,Dextrose
fermentable,"Honey, Basswood - 2°L",,1.040,2,Basswood is an ornamental shade tree that produces cream-colored flowers known for their nectar. Basswood honey has a fresh taste similar to green ripening fruit and a distinctive lingering flavor. 
fermentable,"Honey, Buckwheat - 8°L",,1.040,8,Buckwheat honey is pungent in flavor with molasses and malty tones and a lingering aftertaste. Buckwheat honey is also very dark in color.
fermentable,"Honey, Clover - 1°L",,1.040,1,Clover honey is light in color with a floral flavor and a pleasant mild taste.
fermentable,"Honey, Dandelion - 2°L",,1.040,2,Dandelion honey is rare and original becuuse it is harvested in late spring/early summer and is made from the nectar of dandelion flowers. It is yellow in color like the flower and is very sweet.
fermentable,"Honey, Orange Blossom - 2°L",,1.040,2,"Orange blossom honey is mild, with citrus-orange notes."
fermentable,"Honey, White Sage - 3°L",,1.040,3,"Delicate and light with a predominant sweet, clover-like flavor and an elegant floral aftertaste."
fermentable,"Honey, Wildflower - 4°L",,1.040,4,Light amber in color and is very sweet and robust. This wildflower is produced by placing hives in prairies and grasslands where bees have access to a wide variety of wild plants. The honey is naturally blended by the bees as they visit many different nectar sources.
fermentable,Lactose - 0°L,,1.035,0,"Lactose is a non-fermentable sugar used to sweeten Brown ales and Stouts. It gives a beer a creamy texture, or ""milky"" flavor as it is called in some countries. "
fermentable,Lyle's Golden Syrup - 0°L,,1.036,0,
fermentable,Maltodextrine - 0°L,,1.040,0,"Maltodextrine is used largely in low gravity beers, and is a non-fermentable sugar added to the boil (up to 8 ounces in a 5 gallon batch) to add body and mouth-feel to the beer. Maltodextrine does not produce any flavors, and does not add alcohol to your beer."
fermentable,Maple Syrup - 35°L,,1.031,35,"Maple syrup is a syrup usually made from the xylem sap of sugar maple, red maple, or black maple trees, although it can also be made from other maple species such as the bigleaf maple."
fermentable,"Molasses, Black Strap - 80°L",,1.040,80,"Molasses is a viscous by-product of the processing of sugar cane, grapes or sugar beets into sugar."
fermentable,"Molasses, Full Flavor - 80°L",,1.040,80,"Molasses is a viscous by-product of the processing of sugar cane, grapes or sugar beets into sugar."
fermentable,"Molasses, Mild Flavor - 80°L",,1.040,80,"Molasses is a viscous by-product of the processing of sugar cane, grapes or sugar beets into sugar."
fermentable,Rice Syrup Solids - 0°L,,1.040,0,"Rice Syrup Solids are used to add alcohol and lighten the body of beers. You add them to the boil at the same time as your malt extract. This is the ingredient used in many American lagers, such as the ""King"" of beers. "
fermentable,Treacle - 100°L,,1.035,100,"Treacle is any syrup made during the refining of sugar and is defined as "" uncrystallized syrup produced in refining sugar""."
fermentable,Turbinado - 10°L,,1.044,10,Turbinado sugar is a raw sugar that is obtained or crystallized from the initial pressing of sugar cane.
fermentable,Mott's Original 100% Apple Juice - 2°L,,1.051,2,
hops,Admiral,14.75,,,Known for its bittering potential.
hops,Aged Debittered Hops,0,,,Used in brewing Lambics
hops,Ahtanum,5,,,"Floral, citrus, sharp, and piney."
hops,Amarillo,8.5,,,"A flowery, citrus-like aroma with medium bittering value that is gaining acceptance as a substitute for Cascade due to its hardy nature."
hops,Apollo,17,,,Strong grapefruit
hops,Aurora,7,,,European aroma
hops,Belma,12,,,"very orange, slight grapefruit, tropical (but not mango/guava, more like pineapple), strawberry, and melon"
hops,Bramling Cross,6,,,"Quite mild, fruity currant aroma."
hops,Bravo,16,,,Pleasant fruity and floral aroma
hops,Brewer's Gold,8.5,,,Bittering hop with neutral aroma character.
hops,Bullion,7.75,,,A rich hop primarily used for bittering. Intense blackcurrant aroma.
hops,Cascade (Aregentina),4,,,Different than US grown Cascades with more of a spicy flavor and lemony aroma.
hops,Cascade (New Zealand),7,,,"Similar to US Cascade, has floral, citrus grapefruit character."
hops,Cascade (U.S.),5.75,,,"Pleasant, flowery, spicy, and citrusy. Can have a grapefruit flavor."
hops,Calypso,15,,,"Dual purpose, pleasently complex, fruity aroma, hints of pear and apple, notes of earthy tea."
hops,Celeia,4.5,,,"Moderate and pleasant zesty bitterness with matching floral aroma, making its use widespread in both ale and lager brewing. Stores very well."
hops,Centennial,9.75,,,Medium with floral and citrus tones.
hops,Challenger,7.5,,,"Mild to moderate, quite spicy."
hops,Chelan,13.25,,,Similar to galena
hops,Chinook,12,,,"Mild to medium-heavy, spicy, piney, and grapefruity."
hops,Citra,12.5,,,"Fruity, passionfruit"
hops,Cluster,7.5,,,Medium and quite spicy.
hops,Columbus,13.5,,,"Earthy, spicy, pungent, with a light citrus character."
hops,Comet,11,,,"bittering hop, wild american aroma"
hops,Crystal,3.25,,,"Mild and pleasant, spicy and flowery."
hops,Delta,6,,,"Slightly spicy, hint of citrus"
hops,East Kent Goldings,5,,,"Gentle, fragrant, and pleasant."
hops,El Dorado,14,,,"Tropical, pear, candy, watermelon, stone fruit and fresh-cut grass"
hops,Eroica,11,,,Strong but pleasant aroma.
hops,Falconer's Flight,11,,,"Tropical Fruit, Citrus, floral, lemon and Grapefruit character (the best of the best)"
hops,Falconer's Flight 7Cs,9,,,"Strong Fruit, Citrus, Spicy, earthy (the best of the best)"
hops,First Gold,7,,,A little like Golding family; spicy.
hops,Fuggle (U.K.),5,,,"Mild, pleasant, hoppy, and robust."
hops,Fuggle (U.S.),5,,,"Mild and pleasant, earthy and fruity."
hops,Galaxy,13,,,"Dual purpose hop, citrus, passionfruit"
hops,Galena,12,,,"Medium but pleasant hoppiness, citrusy."
hops,Glacier,7,,,Dual purpose hop with a citrus earthy aroma.
hops,Goldings (U.S.),5,,,"Mild, extremely pleasant, and gently hoppy."
hops,Green Bullet,12,,,Dual purpose hop.
hops,Hallertau (German),6,,,Known for its aromatic properties similar to Hallertauer.
hops,Hallertau (U.S),4,,,"Very mild, pleasant, and slightly flowery, some spicy."
hops,Hallertau Aroma,7,,,A dual purpose hop which has been used to replace Perle
hops,Hallertauer Mittelfruh,4,,,Mild and pleasant.
hops,Hallertau Pacific,5,,,An aroma hop with some citrus and floral character
hops,Hallertauer Tradition,4,,,Known for its aromatic properties. A replacement for Hallertauer Mittelfrüh.
hops,Herald,12,,,New dual-purpose hop
hops,Herkules,14,,,High-alpha bittering hop with pronounced spicy profile. Use in hoppy German ales or lagers.
hops,Hersbrucker,4,,,"Mild to semi-strong, pleasant, hoppy."
hops,Horizon,13,,,Pleasantly hoppy.
hops,Legacy,8,,,"Dual purpose, floral, blackcurrant and spicy aroma"
hops,Liberty,5,,,"Mild and clean aroma, slightly spicy character."
hops,Lublin (Lubelski),4,,,"Mild and typical of noble aroma types, spicy, herbal."
hops,Magnum (Germany),13,,,Known for bittering value and quality.  Aromatic nature is one of spice and citrus
hops,Magnum (U.S.),13,,,Very clean floral aroma
hops,Marynka (New Zealand),7,,,New aroma hop
hops,Marynka (Polish),10,,,New hop variety with intense aroma
hops,Merkur,13,,,"Excellent bittering power with stronger aroma than Magnum - earthy, floral, Hallertau-like. "
hops,Millenium,13,,,"Mild, herbal, similar to Nugget."
hops,Mosaic,12,,,"Mango, lemon, citrus, earthy pine, tropical fruit, herbal and stone fruit notes"
hops,Motueka,7,,,New aroma hop
hops,Mt. Hood,5,,,"Mild, pleasant, and clean, somewhat pungent and resiny."
hops,Mt. Ranier,7,,,"Licorice, hint of citrus"
hops,Nelson Sauvin,13,,,Unique hop with grape-like flavor
hops,Newport,15,,,"Mild herbal, citrus aroma"
hops,Northdown,8,,,Fruity with some spiciness.
hops,Northern Brewer (German),8,,,Medium-strong with some wild tones.
hops,Northern Brewer (U.K.),9,,,Medium-strong with some wild tones.
hops,Northern Brewer (U.S.),8,,,Medium-strong with some wild tones.
hops,Northwest Golding,4,,,Known for aromatic properties.
hops,Nugget,12,,,"Quite heavy and herbal, with pear and peach notes"
hops,Olympic,12,,,"Mild to medium, citrusy aroma, spicy."
hops,Omega,8,,,Bittering
hops,Opal,6,,,A new spicy hop variety.
hops,Pacific Gem,14,,,Bittering hop with a woody character.
hops,Pacific Jade,13,,,"A ""soft"" bittering hop with spicy and citrus aroma qualities."
hops,Pacifica,5,,,An aroma hop with some citrus and floral character
hops,Palisade,7,,,Clean floral charcter
hops,Perle (German),7,,,"Moderately intense, good and hoppy, fruity, minty and a little spicy."
hops,Perle (U.S.),7,,,"Known for its aromatic and bittering properties, pleasant and slightly spicy."
hops,Phoenix,10,,,Similar to U.K. Challenger.
hops,Pilgram,11,,,"Powerful bittering with nice, citric hop aroma."
hops,Pilot,10,,,"Mild, herbal, grassy, with lemon hints."
hops,Pioneer,9,,,Moderate bitterness and citrus characteristics.
hops,Premiant,10,,,A dual purpose variety with a balanced bitterness and slightly spicy aroma
hops,Pride of Ringwood,8,,,"Quite pronounced, woody, earthy, herbal."
hops,Progress,6,,,"Moderately strong, good aroma."
hops,Riwaka,5,,,"Citrusy, grapefruit aroma hop"
hops,Saaz (Czech),4,,,"Very mild with pleasant hoppy notes, earthy, spicy, and herbal."
hops,Saaz (U.S),4,,,"Mild and pleasant, earthy and spicy."
hops,Santiam,7,,,Noble characteristics.
hops,Saphir,3,,,Mild aroma hop.
hops,Satus,13,,,Known for its bittering and aromatic properties.
hops,Select,5,,,noble-type aroma
hops,Serebrianka,4,,,Light perfume
hops,Simcoe,13,,,pine or wood character with notes of passionfruit or apricot.
hops,Sladek,5,,,A dual-purpose Saaz hybrid.
hops,Smaragd,5,,,"Aroma variety, pronounced fruity notes"
hops,Sonnet Golding,7,,,"New variety, no pedigree or profile available yet"
hops,Sorachi Ace,14,,,Bittering hop with lemony aroma
hops,Southern Cross,12,,,"Piney, resinous bittering hop"
hops,Sovereign,5,,,Noble characteristics.
hops,Spalt,5,,,"Mild and pleasant, slightly spicy."
hops,Spalt Select (German),5,,,Very fine Spalter-type aroma.
hops,Spalt Select (U.S),4,,,Medium intensity and pleasant hoppy qualities. Medium-strong aroma with wild American tones.
hops,Stella,15,,,"Aroma is richly piney on a bed of fruity, pleasant floral hoppiness."
hops,Sterling,7,,,"Herbal, spicy, pleasant aroma, hint of floral and citrus."
hops,Sticklebract,9,,,"A good alpha hop with a high Selinene content typical of many
English hops."
hops,Strisselspalt,4,,,"Medium intensity, pleasant, hoppy."
hops,Styrian Aurora,8,,,"Fruity, Spicy"
hops,Styrian Bobek,5,,,"Earthy, slightly fruity"
hops,Styrian Golding,5,,,"Delicate, slightly spicy."
hops,Summit,17,,,"Citrus, grapefruit"
hops,Sun,13,,,High-alpha hop with intense character
hops,Super Alpha,11,,,"Earthy, piney bittering hop."
hops,Super Galena,15,,,citrus aroma
hops,Super Pride,14,,,A high alpha variety bred from Pride of Ringwood.
hops,Surly Furious Dry Hop Blend,12,,,A proprietary blend of hops used in Surly Furious
hops,Target,11,,,"Pleasant English hop aroma, quite intense."
hops,Tettnanger (German),4,,,"Mild and pleasant, slightly spicy, herbal."
hops,Tettnanger (U.S.),4,,,"An aromatic hop, mild and slightly spicy."
hops,Tillicum,13,,,Similar to galena
hops,Tomahawk,16,,,"Earthy, spicy, pungent, with a light citrus character."
hops,Topaz,16,,,"Rich and intense aroma of fleshy citrus and apricot, with a strong ""dank"" overtone and a hint of sulfur."
hops,Tradition,6,,,Very fine and similar to Hallertauer Mittelfrüh.
hops,Ultra,3,,,"Very good to outstanding, some Saaz-like qualities. Aromatic properties similar to Hallertauer."
hops,Vanguard,5,,,Aroma similar to continental European types.
hops,Wakatu,7,,,Restrained floral atop freshly zested lime
hops,Warrior,16,,,A bittering and aromatic hop.
hops,Whitbread Golding,6,,,"Quite pleasant and hoppy, moderately intense."
hops,Willamette,5,,,"Mild and pleasant, slightly spicy, fruity, floral, a little earthy."
hops,Yakima Cluster,7,,,Used as a kettle hop for bittering.
hops,Yeoman,12,,,Similar to target
hops,Zenith,9,,,Aroma
hops,Zeus,15,,,"Earthy, spicy, pungent, with a light citrus character."
hops,Zythos,11,,,"Zythos is strongly aromatic, with tangerine, lemon, grapefruit, and pine notes."
,-----Spices-----,,,,
flavoring,"Cacao Nibs, Ghana",,,,"Cacao nibs are crushed pieces of cocoa beans that can be added to a secondary fermentation to provide a distinct and natural chocolate flavor. These pure cacao nibs are intensely flavorful and chocolately. The nibs from Ghana are very roastey and earthy, providing a dark, smooth chocolate flavor. "
flavoring,"Cacao Nibs, Papua New Guinea",,,,Cacao nibs are crushed pieces of cocoa beans that can be added to a secondary fermentation to provide a distinct and natural chocolate flavor. These pure cacao nibs are intensely flavorful and chocolately. The nibs from Papua New Guinea are bright and acidic with a sharp chocolate taste.
flavoring,Cardamom Seed,,,,"Cardamom has a pleasant, spicy cola-like flavor; sometimes used in Belgian ales."
flavoring,"Cinnamon, Pieces",,,,
flavoring,"Cinnamon, Sticks",,,,"A ""warm-tasting"" spice, used in ciders, holiday ales, and pumpkin beers. "
flavoring,Coriander Seed,,,,"Coriander has a spicy, slightly lemony aroma and flavor. Finely crush the seeds and add at the end of the boil for spiced beer and Belgian ales (particularly Witbier)."
flavoring,"Elderberries, Dried",,,,Provide color and aroma to wine.
flavoring,"Elderflowers, Dried",,,,Often added to wine to enhance flavor.
flavoring,"Ginger, Crystallized",,,,"These tender baby ginger roots are harvested when they're the most flavorful, but not harsh. They're then coated in sugar, for preservation. They add a substantial spicy, gingery flavor and aroma. They can be added at the end of a boil, or to secondary. Use 1-2 oz. per 5 gallons. Soak them in enough vodka or similar neutral spirit to cover for 24 hours if adding to secondary. "
flavoring,"Ginger, Fresh",,,,
flavoring,Heather Tips,,,,"Used to make historical spiced ales and meads, heather tips have a pleasant bitter flavor and mild aroma to beer."
flavoring,Juniper Berries,,,,The principal flavoring in gin.
flavoring,Lavender,,,,"Dried lavender blossoms will add an appealing floral and slightly sweet aroma that's distinctive yet hard to attribute. Use 0.5 - 1 oz per 5 gallons; add to kettle in the last 1 to 10 minutes of the boil. The obvious choice is a light, pale-colored style like American Wheat or Witbier, but lavender can also be used to add a touch of mystery to a dark, malty ale like Belgian Dubbel or brown porter. "
flavoring,"Lemon Peel, Fresh",,,,
flavoring,Licorice Root,,,,"Contributes a sweet flavor, not exactly like licorice candy. Improves head retention."
flavoring,Licorice Stick,,,,"Added during the boil for stouts and other dark, strongly-flavored beers."
flavoring,"Mugwort, Dried",,,,
flavoring,Mulling Spices,,,,
flavoring,"Orange Peel, Bitter",,,,
flavoring,"Orange Peel, Fresh",,,,
flavoring,"Orange Peel, Sweet",,,,
flavoring,Paradise Seed,,,,"Paradise Seeds have a peppery, citrusy, and piney aroma."
flavoring,Rose Hips,,,,A fruity-tasting herb used in both wine and beer.
flavoring,Sarsaparilla,,,,
flavoring,Spearmint,,,,
flavoring,Spruce Tips,,,,
flavoring,Star Anise,,,,
flavoring,"Vanilla Bean, Bourbon",,,,
flavoring,"Vanilla Bean, Indian",,,,
flavoring,"Vanilla Bean, Indonesian",,,,
flavoring,"Vanilla Bean, Madagascar",,,,
flavoring,"Vanilla Bean, Mexican",,,,
flavoring,"Vanilla Bean, Papua New Guinea",,,,
flavoring,"Vanilla Bean, Tonga",,,,
flavoring,Wintergreen Leaves,,,,
flavoring,"Woodruff, Dried",,,,
flavoring,"Wormwood, Dried",,,,